by,descendants,id,kids,score,time,title,type,url,text
tosh,10.0,40255611,"[40260625, 40262645, 40260365, 40270810]",39,1714806854,Plotille: Plot in the terminal using Braille dots,story,https://github.com/tammoippen/plotille,
setheron,5.0,40252784,"[40268546, 40266974]",28,1714772923,Speeding up ELF relocations for store-based systems,story,https://fzakaria.com/2024/05/03/speeding-up-elf-relocations-for-store-based-systems.html,
flexagoon,120.0,40262779,"[40263189, 40263634, 40264282, 40264393, 40263472, 40263379, 40264220, 40263962, 40265759, 40264263, 40268723, 40263449, 40263902, 40269654, 40264137, 40263849, 40263296, 40265334, 40263170, 40265014, 40264944, 40264073, 40268106]",189,1714891660,Xmake: A cross-platform build utility based on Lua,story,https://github.com/xmake-io/xmake,
rglullis,54.0,40272186,"[40275311, 40274435, 40275221, 40273817, 40274455, 40274799, 40273677, 40273781, 40274812, 40274615, 40274338, 40273809, 40274242, 40273852, 40274913, 40273757, 40274310, 40273858, 40274306, 40274195, 40274074]",62,1714981192,A Useful Productivity Measure for Software Engineering?,story,https://www.jamesshore.com/v2/blog/2024/a-useful-productivity-measure,
tosh,7.0,40269606,"[40273767, 40274471, 40271545, 40272335, 40271729, 40272291]",9,1714952052,Unicode 16: Symbols for Legacy Computing Supplement [pdf],story,https://www.unicode.org/charts/PDF/Unicode-16.0/U160-1CC00.pdf,
benbreen,0.0,40271057,,5,1714968369,Laudatio Turiae,story,https://en.wikipedia.org/wiki/Laudatio_Turiae,
mattficke,2.0,40274980,"[40275199, 40275208, 40275132]",9,1715005048,Teens come up with trigonometry proof for Pythagorean Theorem,story,https://www.cbsnews.com/news/teens-come-up-with-trigonometry-proof-for-pythagorean-theorem-60-minutes-transcript/,
get_flomped,0.0,40266057,,16,1714926486,Show HN: Wanderer – an open-source trail database,story,https://github.com/Flomp/wanderer,
gulced,4.0,40261402,"[40263152, 40261648, 40261523]",22,1714868581,Winged lions through time and space,story,https://languagelog.ldc.upenn.edu/nll/?p=63820,
Wavum,52.0,40269945,"[40270888, 40270522, 40270275, 40271560, 40273239, 40272145, 40270900, 40272496, 40272129, 40271933, 40273194, 40272802, 40271042, 40270311, 40270697, 40271279, 40271433, 40271156, 40271931, 40271927, 40270436]",58,1714955397,Ask HN: What's the most life-changing blog post you've ever read?,story,,"... any blog post that had a major impact on your life, workflow, career, understanding, etc. qualifies."
conelion,3.0,40272571,"[40274439, 40275093, 40273724]",6,1714985334,Ask HN: Looking for good industrial design news/resources/discussions/books,story,,"Hey all, I&#x27;ve recently developed an interest in industrial design, particularly inspired by the works of figures like Max Bill. I want to explore more about this field and would like an easy in. I&#x27;m not necessarily looking for academic or career-oriented insights. I&#x27;d like to find resources&#x2F;discussions from people who have similar interests, like the discussions on HN. Thanks in advance!"
vwoolf,8.0,40270360,"[40273249, 40271342, 40270958]",24,1714959782,TSMC says Arizona fab is now ahead of schedule,story,https://www.datacenterdynamics.com/en/news/tsmc-updates-arizona-fab-production-timeline-signs-semiconductor-talent-agreement-with-kyushu-university/,
MilnerRoute,22.0,40268523,"[40269244, 40269309, 40273880, 40271710, 40269230, 40270741, 40270954, 40272182, 40272280]",70,1714944051,"Amazon CEO Andy Jassy violated labor law with union comments, NLRB rules",story,https://www.seattletimes.com/business/amazon/amazon-ceo-andy-jassy-violated-labor-law-with-union-comments-nlrb-rules/,
bookofjoe,5.0,40266382,"[40267115, 40267097, 40274099, 40267089, 40268860]",53,1714928847,"Dick Rutan, co-pilot of historic round-the-world flight, has died",story,https://www.theguardian.com/world/article/2024/may/04/dick-rutan-pilot-dies-aged-85,
kdamica,78.0,40271457,"[40272994, 40272801, 40273045, 40272541, 40273347, 40273427, 40273056, 40273775, 40272852]",177,1714974002,"How LLMs Work, Explained Without Math",story,https://blog.miguelgrinberg.com/post/how-llms-work-explained-without-math,
andsoitis,91.0,40265456,"[40266031, 40266397, 40265695, 40266330, 40266341, 40266306, 40265897, 40265821, 40265853, 40266564, 40266251, 40269112, 40266356, 40267830, 40269473, 40268755, 40265939, 40267130, 40270579, 40269411, 40265751]",74,1714921825,Let insects eat your plants,story,https://www.bbc.com/future/article/20240503-why-you-should-let-insects-eat-your-plants,
ranit,3.0,40271978,[40272598],8,1714979270,The rise of Sweden's super rich,story,https://www.bbc.com/news/business-68927238,
gz09,97.0,40259185,"[40261562, 40261546, 40260398, 40261037, 40265629, 40260721, 40264358, 40260733, 40263021, 40263018, 40260912, 40261844, 40260396, 40260391]",272,1714845053,Verified Rust for low-level systems code,story,https://github.com/verus-lang/verus,
refset,1.0,40241256,[40274420],17,1714683227,The Sisyphean struggle and the new era of data infrastructure,story,https://jack-vanlightly.com/blog/2024/3/26/the-sisyphean-struggle-and-the-new-era-of-data-infrastructure,
jtwaleson,3.0,40268011,[40272471],12,1714940923,The long long tail of AI applications,story,https://blog.waleson.com/2024/05/the-long-long-tail-of-ai-applications.html,
gulced,93.0,40264337,"[40266846, 40265208, 40265025, 40265105, 40264754, 40266971, 40265315, 40267645, 40266233, 40268875, 40266229, 40267304, 40266794, 40266480, 40265361, 40271196]",170,1714912110,"A History of C Compilers – Part 1: Performance, Portability and Freedom",story,https://thechipletter.substack.com/p/a-history-of-c-compilers-part-1-performance,
jdmark,0.0,40270309,,5,1714959359,An Overview of Defensive Tactics from the Modern History of Urban Warfare,story,https://mwi.westpoint.edu/defending-the-city-an-overview-of-defensive-tactics-from-the-modern-history-of-urban-warfare/,
andsoitis,1.0,40269931,[40269956],23,1714955287,Bluesky confirms Jack Dorsey is no longer on its board,story,https://www.theverge.com/2024/5/5/24149543/jack-dorsey-gone-bluesky-board,
mp187,1.0,40266635,[40267372],38,1714930836,Stereogram Tutorial (2020),story,https://www.ime.usp.br/~otuyama/stereogram/basic/index.html,
ulrischa,18.0,40244205,"[40264994, 40258105, 40258528, 40262051, 40262048]",58,1714712283,A year of publishing the MDN Blog,story,https://developer.mozilla.org/en-US/blog/mdn-blog-one-year-on/,
mstats,5.0,40259505,"[40266972, 40269424, 40270668]",11,1714848507,YC’s founder-matching service helped medical records AI startup Hona,story,https://techcrunch.com/2024/05/03/y-combinator-founder-matching-tool-hona-medical-ai-startup/,
tosh,1.0,40269020,[40271105],7,1714947324,Livegrep: Interactively Grep Source Code,story,https://github.com/livegrep/livegrep,
okl,68.0,40263479,"[40266505, 40265544, 40264149, 40266841, 40264826, 40264246, 40264613, 40266541, 40264032]",146,1714902268,Debian 64-bit-time transition,story,https://wiki.debian.org/ReleaseGoals/64bit-time,
speckx,15.0,40260210,"[40260872, 40261251, 40261878, 40266685, 40263600, 40263951, 40264226, 40264268, 40265045, 40263646]",233,1714856162,Atari's Mike Jang,story,https://arcadeblogger.com/2024/02/13/ataris-mike-jang/,
thunderbong,13.0,40262643,"[40263526, 40265542, 40265482, 40264715, 40266303, 40265496, 40264187]",69,1714889155,New scanning electron microscope tech sees magnetic field with 100nm resolution,story,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4812984,
botanical,222.0,40262190,"[40263203, 40262327, 40262250, 40262309, 40262379, 40263362, 40264023, 40262350, 40264950, 40262518, 40271325, 40263936, 40262330, 40265921, 40262406, 40264183, 40262307, 40262304, 40262428, 40263114, 40264531]",220,1714882436,Judge mulls sanctions over Google's destruction of internal chats,story,https://arstechnica.com/tech-policy/2024/05/judge-mulls-sanctions-over-googles-shocking-destruction-of-internal-chats/,
robertvc,48.0,40261319,"[40270628, 40261955, 40270726, 40272385, 40270825, 40272468, 40269929]",66,1714867428,A mostly complete guide to React rendering behavior (2020),story,https://blog.isquaredsoftware.com/2020/05/blogged-answers-a-mostly-complete-guide-to-react-rendering-behavior/,
osm3000,115.0,40263168,"[40263614, 40263855, 40263630, 40267047, 40263804, 40263845, 40263662, 40263531, 40264317]",93,1714897884,US prepares to exempt AUKUS nations from ITAR,story,https://www.naval-technology.com/news/us-prepares-to-scrap-itar-for-aukus-nations/,
